index,descriptors,relative_frequency
"Riesling, Pfalz, Germany",peach,0.02
"Chardonnay, Gisborne, New Zealand",bergamot,0.02
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",mint,0.02
"Chardonnay, Auckland, New Zealand",pear,0.02
"Merlot, Santa Barbara, Central Coast, California, USA",coffee,0.02
"Cabernet Sauvignon, Long Island, New York, USA",smoke,0.03
"Syrah, Hawkes Bay, New Zealand",violet,0.03
"Grenache, Columbia Valley, Washington, USA",oil,0.02
"Syrah, Santa Barbara, Central Coast, California, USA",citrus,0.01
"Cabernet Sauvignon, Galilee, Israel",milk_chocolate,0.02
"Chardonnay, Monterey, Central Coast, California, USA",pear,0.01
"Riesling, Nahe, Germany",asphalt,0.03
"Petite Sirah, Sonoma Valley, North Coast, California, USA",game,0.01
"Chardonnay, Santa Barbara, Central Coast, California, USA",caramel,0.01
"Sauvignon Blanc, Columbia Valley, Washington, USA",stone,0.02
"Sauvignon Blanc, Sierra Foothills, California, USA",earth,0.02
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",grapey,0.02
"Sauvignon Blanc, Steiermark, Austria",quince,0.02
"Pinot Noir, Central Otago, New Zealand",lactic,0.02
"Sauvignon Blanc, Nelson, New Zealand",celery,0.02
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",gooseberry,0.02
"Cabernet Franc, Finger Lakes, New York, USA",menthol,0.02
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",blueberry,0.03
"Merlot, Coastal Region, South Africa",cinnamon,0.02
"Riesling, Columbia Valley, Washington, USA",lime,0.02
"Chardonnay, Napa Valley, North Coast, California, USA",buttery_toast,0.02
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",raspberry,0.01
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",salinity,0.03
"Syrah, Coastal Region, South Africa",blackberry,0.03
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",herb,0.02
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",fruit-forward,0.03
"Chardonnay, Coastal Region, South Africa",vanilla,0.02
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",herb,0.03
"Merlot, Colchagua Valley, Central Valley, Chile",herb,0.02
"Petite Sirah, Sierra Foothills, California, USA",candy,0.02
"Riesling, Marlborough, New Zealand",perfumed,0.02
"Merlot, Monterey, Central Coast, California, USA",lactic,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",flower,0.01
"Merlot, Finger Lakes, New York, USA",sage,0.02
"Pinot Grigio, Marlborough, New Zealand",super_ripe,0.03
"Syrah, Colchagua Valley, Central Valley, Chile",toast,0.03
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",orange,0.02
"Merlot, Maule Valley, Central Valley, Chile",overripe,0.03
"Chardonnay, Hawkes Bay, New Zealand",clove,0.02
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",smoke,0.02
"Chardonnay, Colchagua Valley, Central Valley, Chile",flower,0.03
"Riesling, Mosel, Germany",pineapple,0.02
"Zinfandel, Napa Valley, North Coast, California, USA",candy,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",smoke,0.02
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",vanilla,0.02
"Riesling, Willamette Valley, Oregon, USA",pineapple,0.02
"Gruner Veltliner, Burgenland, Austria",lime,0.03
"Syrah, Monterey, Central Coast, California, USA",flower,0.01
"Pinot Noir, Burgenland, Austria",sweat,0.02
"Riesling, Central Otago, New Zealand",spice,0.02
"Riesling, Canterbury and Waipara, New Zealand",lime_peel,0.02
"Cabernet Sauvignon, Coastal Region, South Africa",coffee,0.02
"Pinot Grigio, Willamette Valley, Oregon, USA",lees,0.02
"Chardonnay, Finger Lakes, New York, USA",caramel,0.01
"Chardonnay, Maule Valley, Central Valley, Chile",nectarine,0.02
"Cabernet Franc, Columbia Valley, Washington, USA",flower,0.01
"Merlot, Napa Valley, North Coast, California, USA",raspberry,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",lime,0.02
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",perfumed,0.02
"Sauvignon Blanc, Wairarapa, New Zealand",tropical_fruit,0.03
"Chardonnay, Marlborough, New Zealand",flint,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",cola,0.01
"White Blend, Columbia Valley, Washington, USA",juicy,0.02
"Chardonnay, San Francisco Bay, Central Coast, California, USA",tropical_fruit,0.03
"Syrah, Napa Valley, North Coast, California, USA",leather,0.01
"Bordeaux-style Red Blend, Long Island, New York, USA",mushroom,0.03
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",over-oaked,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",bramble,0.02
"Sangiovese, Santa Barbara, Central Coast, California, USA",blackberry,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",apple,0.01
"Syrah, Inland Valleys, California, USA",clove,0.01
"Syrah, Cachapoal Valley, Central Valley, Chile",blackberry,0.04
"Pinot Grigio, Columbia Valley, Washington, USA",oak,0.02
"Gruner Veltliner, Niederosterreich, Austria",tropical_fruit,0.01
"Chardonnay, Inland Valleys, California, USA",nutmeg,0.01
"Malbec, Columbia Valley, Washington, USA",raspberry,0.02
"Pinot Grigio, Southern Oregon, Oregon, USA",band-aid,0.03
"Pinot Noir, Niederosterreich, Austria",flower,0.01
"Cabernet Sauvignon, Finger Lakes, New York, USA",cinnamon,0.03
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",jelly,0.02
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",juicy,0.04
"Pinot Noir, Monterey, Central Coast, California, USA",vegetal,0.01
"Merlot, Paso Robles, Central Coast, California, USA",smoke,0.02
"Riesling, Rheinhessen, Germany",smoke,0.02
"Riesling, Rheingau, Germany",candy,0.02
"Pinot Noir, Finger Lakes, New York, USA",spice,0.03
"Pinot Noir, Santa Barbara, Central Coast, California, USA",smoke,0.01
"Merlot, Columbia Valley, Washington, USA",coffee,0.01
"Pinot Noir, Wairarapa, New Zealand",coffee,0.02
"Merlot, Maipo Valley, Central Valley, Chile",spice,0.02
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",shoe_polish,0.03
"Cabernet Franc, Long Island, New York, USA",black_cherry,0.02
"Sangiovese, Napa Valley, North Coast, California, USA",underripe,0.02
"Sauvignon Blanc, Coastal Region, South Africa",plum,0.02
"White Blend, Burgenland, Austria",honeysuckle,0.02
"Syrah, Paso Robles, Central Coast, California, USA",herb,0.01
"Chardonnay, Breede River Valley",honey,0.03
"Syrah, Columbia Valley, Washington, USA",violet,0.01
"Syrah, Columbia Valley, Oregon, USA",blackberry,0.03
"Syrah, Sierra Foothills, California, USA",berry,0.01
"Chardonnay, Paso Robles, Central Coast, California, USA",lactic,0.03
"Syrah, Southern Oregon, Oregon, USA",cassis,0.02
"Syrah, Maipo Valley, Central Valley, Chile",foxy,0.04
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",earth,0.01
"Chardonnay, Columbia Valley, Washington, USA",minerality,0.01
"Chardonnay, Maipo Valley, Central Valley, Chile",lemon,0.02
"Zinfandel, San Francisco Bay, Central Coast, California, USA",cherry,0.02
"Pinot Noir, Napa Valley, North Coast, California, USA",earthy,0.02
"Tempranillo, Sierra Foothills, California, USA",blueberry,0.02
"Tempranillo, Columbia Valley, Washington, USA",orange_peel,0.02
"Tempranillo, Southern Oregon, Oregon, USA",cherry,0.02
"Cabernet Sauvignon, Inland Valleys, California, USA",juicy,0.02
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",blueberry,0.02
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",dust,0.02
"Merlot, Sonoma Valley, North Coast, California, USA",spice,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",wax,0.02
"Grenache, Santa Barbara, Central Coast, California, USA",purple_flower,0.01
"Zinfandel, Inland Valleys, California, USA",mint,0.02
"Merlot, San Francisco Bay, Central Coast, California, USA",earth,0.02
"Sauvignon Blanc, Monterey, Central Coast, California, USA",melon,0.02
"Sauvignon Blanc, Finger Lakes, New York, USA",honey,0.03
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",zest,0.02
"Syrah, Sonoma Valley, North Coast, California, USA",dust,0.01
"Chardonnay, Long Island, New York, USA",french_oak,0.02
"Chardonnay, Sonoma Valley, North Coast, California, USA",caramel,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",super_ripe,0.01
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",flower,0.03
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",leafy,0.03
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",vanilla,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",fig,0.03
"Syrah, San Luis Obispo, Central Coast, California, USA",salinity,0.02
"Riesling, Niederosterreich, Austria",pear,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",raisin,0.02
"Riesling, Santa Barbara, Central Coast, California, USA",tropical_fruit,0.02
"Zinfandel, Columbia Valley, Washington, USA",sappy,0.01
"Zinfandel, Sierra Foothills, California, USA",candy,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",grapefruit,0.02
"Chardonnay, Willamette Valley, Oregon, USA",wood,0.01
"Viognier, Inland Valleys, California, USA",oak,0.03
"Sauvignon Blanc, Hawkes Bay, New Zealand",fruit,0.02
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",pepper,0.01
"Syrah, Breede River Valley",fruit,0.03
"Pinot Noir, Marlborough, New Zealand",cola,0.02
"Grenache, Paso Robles, Central Coast, California, USA",fruit,0.02
"Pinot Noir, Sonoma Valley, North Coast, California, USA",strawberry,0.01
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",juicy,0.02
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",lettuce,0.02
"White Blend, Coastal Region, South Africa",melon,0.02
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",funky,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",bramble,0.01
"Viognier, Paso Robles, Central Coast, California, USA",apple,0.01
"Viognier, Columbia Valley, Washington, USA",pear,0.02
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",grapey,0.02
"Viognier, Sierra Foothills, California, USA",lemon,0.02
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",blackberry,0.01
"Viognier, Southern Oregon, Oregon, USA",orange_blossom,0.02
"Merlot, Rapel Valley, Central Valley, Chile",strawberry,0.02
"Merlot, Napa-Sonoma, North Coast, California, USA",olive,0.01
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",minerality,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",smoke,0.01
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",underripe,0.01
"Merlot, Long Island, New York, USA",chocolate,0.02
"Petite Sirah, Napa Valley, North Coast, California, USA",dust,0.01
"Pinot Noir, San Benito, Central Coast, California, USA",candy,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",berry,0.02
"Petite Sirah, Inland Valleys, California, USA",berry,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",steel,0.02
"Sangiovese, Columbia Valley, Washington, USA",dust,0.01
"Sangiovese, Sierra Foothills, California, USA",strawberry,0.02
"Merlot, Galilee, Israel",jam,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",herb,0.03
"Viognier, Sonoma Valley, North Coast, California, USA",apricot,0.02
"Cabernet Sauvignon, Columbia Valley, Washington, USA",blackberry,0.02
"Sauvignon Blanc, Marlborough, New Zealand",pepper,0.02
"Cabernet Sauvignon, Sierra Foothills, California, USA",plum,0.02
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",spearmint,0.02
"Syrah, Galilee, Israel",blackberry,0.02
"White Blend, Macedonia, Greece",corn,0.03
"Chardonnay, Burgenland, Austria",super_ripe,0.02
"Pinot Noir, Paso Robles, Central Coast, California, USA",plastic,0.02
"Riesling, Monterey, Central Coast, California, USA",white_flower,0.01
"Pinot Noir, Southern Oregon, Oregon, USA",mushroom,0.03
"Malbec, Colchagua Valley, Central Valley, Chile",raisin,0.03
"Riesling, Finger Lakes, New York, USA",lime,0.01
"Chardonnay, Galilee, Israel",lemon_peel,0.02
"Cabernet Franc, Napa Valley, North Coast, California, USA",leather,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",plum,0.01
"Merlot, Curico Valley, Central Valley, Chile",leather,0.03
"Pinot Grigio, Monterey, Central Coast, California, USA",honeydew,0.02
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",wood,0.02
"Pinot Grigio, Finger Lakes, New York, USA",almond,0.04
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",orange,0.02
"Bordeaux-style Red Blend, Coastal Region, South Africa",cigar,0.03
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",lactic,0.02
"Sangiovese, Sonoma Valley, North Coast, California, USA",cheese,0.01
"Riesling, Pfalz, Germany",melon,0.02
"Chardonnay, Gisborne, New Zealand",spice,0.02
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",jam,0.02
"Chardonnay, Auckland, New Zealand",buttery_toast,0.02
"Merlot, Santa Barbara, Central Coast, California, USA",cigar_box,0.01
"Cabernet Sauvignon, Long Island, New York, USA",bramble,0.03
"Syrah, Hawkes Bay, New Zealand",inky,0.02
"Grenache, Columbia Valley, Washington, USA",funky,0.02
"Syrah, Santa Barbara, Central Coast, California, USA",berry,0.01
"Cabernet Sauvignon, Galilee, Israel",blackcurrant,0.02
"Chardonnay, Monterey, Central Coast, California, USA",buttery_toast,0.01
"Riesling, Nahe, Germany",tar,0.03
"Petite Sirah, Sonoma Valley, North Coast, California, USA",jam,0.01
"Chardonnay, Santa Barbara, Central Coast, California, USA",spice,0.01
"Sauvignon Blanc, Columbia Valley, Washington, USA",juicy,0.02
"Sauvignon Blanc, Sierra Foothills, California, USA",pineapple,0.02
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",dust,0.02
"Sauvignon Blanc, Steiermark, Austria",flower,0.02
"Pinot Noir, Central Otago, New Zealand",savory,0.01
"Sauvignon Blanc, Nelson, New Zealand",passion_fruit,0.02
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",celery,0.02
"Cabernet Franc, Finger Lakes, New York, USA",savory,0.02
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",berry,0.03
"Merlot, Coastal Region, South Africa",spice,0.02
"Riesling, Columbia Valley, Washington, USA",steel,0.01
"Chardonnay, Napa Valley, North Coast, California, USA",apricot,0.01
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",flower,0.01
"Syrah, Coastal Region, South Africa",violet,0.02
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",oil,0.01
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",tobacco,0.03
"Chardonnay, Coastal Region, South Africa",oak,0.02
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",wood,0.03
"Merlot, Colchagua Valley, Central Valley, Chile",moss,0.02
"Petite Sirah, Sierra Foothills, California, USA",bramble,0.02
"Riesling, Marlborough, New Zealand",leafy,0.01
"Merlot, Monterey, Central Coast, California, USA",raisin,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",overripe,0.01
"Merlot, Finger Lakes, New York, USA",pomegranate,0.02
"Pinot Grigio, Marlborough, New Zealand",juicy,0.03
"Syrah, Colchagua Valley, Central Valley, Chile",perfumed,0.03
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",minerality,0.02
"Merlot, Maule Valley, Central Valley, Chile",black_cherry,0.03
"Chardonnay, Hawkes Bay, New Zealand",pineapple,0.02
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",oak,0.02
"Chardonnay, Colchagua Valley, Central Valley, Chile",pith,0.03
"Riesling, Mosel, Germany",savory,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",overripe,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",coffee,0.02
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",matchstick,0.02
"Riesling, Willamette Valley, Oregon, USA",spice,0.01
"Gruner Veltliner, Burgenland, Austria",toast,0.03
"Syrah, Monterey, Central Coast, California, USA",elderberry,0.01
"Riesling, Central Otago, New Zealand",lemongrass,0.02
"Riesling, Canterbury and Waipara, New Zealand",zest,0.02
"Cabernet Sauvignon, Coastal Region, South Africa",juicy,0.02
"Pinot Grigio, Willamette Valley, Oregon, USA",grapefruit,0.01
"Chardonnay, Finger Lakes, New York, USA",american_oak,0.01
"Chardonnay, Maule Valley, Central Valley, Chile",lemon,0.02
"Cabernet Franc, Columbia Valley, Washington, USA",bark,0.01
"Merlot, Napa Valley, North Coast, California, USA",black_cherry,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",tangerine,0.02
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",steel,0.02
"Sauvignon Blanc, Wairarapa, New Zealand",fruit-forward,0.03
"Chardonnay, Marlborough, New Zealand",flower,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",lavender,0.01
"White Blend, Columbia Valley, Washington, USA",lemon,0.02
"Chardonnay, San Francisco Bay, Central Coast, California, USA",honey,0.02
"Syrah, Napa Valley, North Coast, California, USA",spice,0.01
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",caramel,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",jam,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",tangerine,0.01
"Syrah, Inland Valleys, California, USA",toast,0.01
"Syrah, Cachapoal Valley, Central Valley, Chile",lactic,0.02
"Pinot Grigio, Columbia Valley, Washington, USA",cucumber,0.01
"Gruner Veltliner, Niederosterreich, Austria",super_ripe,0.01
"Chardonnay, Inland Valleys, California, USA",melon,0.01
"Malbec, Columbia Valley, Washington, USA",leafy,0.02
"Pinot Noir, Niederosterreich, Austria",vanilla,0.01
"Cabernet Sauvignon, Finger Lakes, New York, USA",violet,0.03
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",juicy,0.02
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",leather,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",savory,0.01
"Merlot, Paso Robles, Central Coast, California, USA",juicy,0.01
"Riesling, Rheinhessen, Germany",lime_peel,0.02
"Riesling, Rheingau, Germany",white_flower,0.02
"Pinot Noir, Finger Lakes, New York, USA",flower,0.03
"Pinot Noir, Santa Barbara, Central Coast, California, USA",dust,0.01
"Merlot, Columbia Valley, Washington, USA",flower,0.01
"Pinot Noir, Wairarapa, New Zealand",plum,0.01
"Merlot, Maipo Valley, Central Valley, Chile",flower,0.02
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",medicinal,0.03
"Cabernet Franc, Long Island, New York, USA",plum,0.02
"Sangiovese, Napa Valley, North Coast, California, USA",medicinal,0.02
"Sauvignon Blanc, Coastal Region, South Africa",chalk,0.02
"White Blend, Burgenland, Austria",wood,0.02
"Syrah, Paso Robles, Central Coast, California, USA",caramel,0.01
"Syrah, Columbia Valley, Washington, USA",plum,0.01
"Syrah, Columbia Valley, Oregon, USA",cherry,0.03
"Syrah, Sierra Foothills, California, USA",smoke,0.01
"Chardonnay, Paso Robles, Central Coast, California, USA",apple,0.03
"Syrah, Southern Oregon, Oregon, USA",toast,0.02
"Syrah, Maipo Valley, Central Valley, Chile",minerality,0.04
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",candy,0.01
"Chardonnay, Columbia Valley, Washington, USA",citrus,0.01
"Chardonnay, Maipo Valley, Central Valley, Chile",perfumed,0.02
"Zinfandel, San Francisco Bay, Central Coast, California, USA",cooked,0.02
"Pinot Noir, Napa Valley, North Coast, California, USA",coffee,0.02
"Tempranillo, Sierra Foothills, California, USA",smoke,0.02
"Tempranillo, Columbia Valley, Washington, USA",tobacco,0.02
"Tempranillo, Southern Oregon, Oregon, USA",flower,0.02
"Cabernet Sauvignon, Inland Valleys, California, USA",raspberry,0.02
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",tomato,0.02
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",salinity,0.02
"Merlot, Sonoma Valley, North Coast, California, USA",overripe,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",smoke,0.02
"Grenache, Santa Barbara, Central Coast, California, USA",cinnamon,0.01
"Zinfandel, Inland Valleys, California, USA",oak,0.02
"Merlot, San Francisco Bay, Central Coast, California, USA",currant,0.02
"Sauvignon Blanc, Monterey, Central Coast, California, USA",smoke,0.01
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",banana,0.02
"Syrah, Sonoma Valley, North Coast, California, USA",meat,0.01
"Chardonnay, Long Island, New York, USA",honey,0.02
"Chardonnay, Sonoma Valley, North Coast, California, USA",buttery_toast,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",plum,0.01
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",oak,0.03
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",cassis,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",pineapple,0.03
"Syrah, San Luis Obispo, Central Coast, California, USA",flower,0.01
"Riesling, Niederosterreich, Austria",flower,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",overripe,0.02
"Riesling, Santa Barbara, Central Coast, California, USA",beeswax,0.02
"Zinfandel, Columbia Valley, Washington, USA",jam,0.01
"Zinfandel, Sierra Foothills, California, USA",earth,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",candy,0.02
"Chardonnay, Willamette Valley, Oregon, USA",lime,0.01
"Viognier, Inland Valleys, California, USA",minerality,0.03
"Sauvignon Blanc, Hawkes Bay, New Zealand",vegetal,0.02
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",smoke,0.01
"Syrah, Breede River Valley",vanilla,0.03
"Pinot Noir, Marlborough, New Zealand",fruit-forward,0.01
"Grenache, Paso Robles, Central Coast, California, USA",jam,0.02
"Pinot Noir, Sonoma Valley, North Coast, California, USA",flower,0.01
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",toast,0.01
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",melon,0.02
"White Blend, Coastal Region, South Africa",orange,0.02
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",sassafras,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",oak,0.01
"Viognier, Paso Robles, Central Coast, California, USA",jelly,0.01
"Viognier, Columbia Valley, Washington, USA",rose,0.02
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",minerality,0.02
"Viognier, Sierra Foothills, California, USA",apple_sauce,0.02
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",jam,0.01
"Viognier, Southern Oregon, Oregon, USA",yeast,0.02
"Merlot, Rapel Valley, Central Valley, Chile",tobacco,0.02
"Merlot, Napa-Sonoma, North Coast, California, USA",unripe,0.01
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",grass,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",juicy,0.01
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",red_berry,0.01
"Merlot, Long Island, New York, USA",pepper,0.02
"Petite Sirah, Napa Valley, North Coast, California, USA",oak,0.01
"Pinot Noir, San Benito, Central Coast, California, USA",dust,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",fruit-forward,0.02
"Petite Sirah, Inland Valleys, California, USA",raspberry,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",peach,0.01
"Sangiovese, Columbia Valley, Washington, USA",raisin,0.01
"Sangiovese, Sierra Foothills, California, USA",cinnamon,0.02
"Merlot, Galilee, Israel",vegetal,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",oak,0.03
"Viognier, Sonoma Valley, North Coast, California, USA",oil,0.02
"Cabernet Sauvignon, Columbia Valley, Washington, USA",coffee,0.02
"Sauvignon Blanc, Marlborough, New Zealand",asparagus,0.02
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",lemongrass,0.02
"Syrah, Galilee, Israel",jam,0.02
"White Blend, Macedonia, Greece",sweat,0.03
"Chardonnay, Burgenland, Austria",marmalade,0.02
"Pinot Noir, Paso Robles, Central Coast, California, USA",licorice,0.02
"Riesling, Monterey, Central Coast, California, USA",orange,0.01
"Pinot Noir, Southern Oregon, Oregon, USA",smoke,0.03
"Malbec, Colchagua Valley, Central Valley, Chile",blackberry,0.03
"Riesling, Finger Lakes, New York, USA",spice,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",licorice,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",blueberry,0.01
"Merlot, Curico Valley, Central Valley, Chile",wood,0.03
"Pinot Grigio, Monterey, Central Coast, California, USA",super_ripe,0.02
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",savory,0.02
"Pinot Grigio, Finger Lakes, New York, USA",nut,0.04
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",fruit-forward,0.02
"Bordeaux-style Red Blend, Coastal Region, South Africa",berry,0.03
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",oak,0.02
"Riesling, Pfalz, Germany",grapefruit,0.02
"Chardonnay, Gisborne, New Zealand",matchstick,0.02
"Chardonnay, Auckland, New Zealand",nut,0.02
"Merlot, Santa Barbara, Central Coast, California, USA",oregano,0.01
"Cabernet Sauvignon, Long Island, New York, USA",plum,0.03
"Syrah, Hawkes Bay, New Zealand",perfumed,0.02
"Grenache, Columbia Valley, Washington, USA",chalk,0.02
"Syrah, Santa Barbara, Central Coast, California, USA",overripe,0.01
"Cabernet Sauvignon, Galilee, Israel",plum,0.02
"Chardonnay, Monterey, Central Coast, California, USA",peach,0.01
"Riesling, Nahe, Germany",lemongrass,0.01
"Petite Sirah, Sonoma Valley, North Coast, California, USA",plum,0.01
"Chardonnay, Santa Barbara, Central Coast, California, USA",lime,0.01
"Sauvignon Blanc, Columbia Valley, Washington, USA",french_oak,0.02
"Sauvignon Blanc, Sierra Foothills, California, USA",candy,0.02
"Sauvignon Blanc, Steiermark, Austria",currant,0.01
"Pinot Noir, Central Otago, New Zealand",leafy,0.01
"Sauvignon Blanc, Nelson, New Zealand",nettle,0.02
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",green_fruit,0.02
"Cabernet Franc, Finger Lakes, New York, USA",fruit-forward,0.02
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",oak,0.02
"Merlot, Coastal Region, South Africa",tar,0.02
"Riesling, Columbia Valley, Washington, USA",minerality,0.01
"Chardonnay, Napa Valley, North Coast, California, USA",herb,0.01
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",savory,0.01
"Syrah, Coastal Region, South Africa",juicy,0.02
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",sage,0.01
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",ripe,0.03
"Chardonnay, Coastal Region, South Africa",mango,0.02
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",brown_sugar,0.02
"Merlot, Colchagua Valley, Central Valley, Chile",leafy,0.02
"Petite Sirah, Sierra Foothills, California, USA",plum,0.02
"Riesling, Marlborough, New Zealand",botrytis,0.01
"Merlot, Monterey, Central Coast, California, USA",overripe,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",chocolate,0.01
"Merlot, Finger Lakes, New York, USA",fruit-forward,0.02
"Pinot Grigio, Marlborough, New Zealand",wax,0.03
"Syrah, Colchagua Valley, Central Valley, Chile",gummy,0.03
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",flower,0.02
